employee_id,commute_time_min,num_transfers,walk_time_min,num_transit_steps
101.0,104.0,2.0,10.0,3.0
102.0,131.1,4.0,32.9,5.0
103.0,15.8,0.0,8.8,1.0
104.0,116.4,2.0,10.8,3.0
105.0,121.6,1.0,25.4,2.0
106.0,121.2,3.0,17.7,4.0
107.0,50.0,1.0,13.8,2.0
108.0,100.3,4.0,15.2,5.0
109.0,95.1,3.0,10.0,4.0
110.0,108.4,3.0,17.4,4.0
111.0,106.1,3.0,21.1,4.0
112.0,138.5,6.0,17.4,7.0
113.0,96.6,2.0,18.0,3.0
114.0,93.1,3.0,14.5,4.0
115.0,124.2,2.0,12.4,3.0
116.0,,,,
117.0,107.1,3.0,7.8,4.0
118.0,45.8,1.0,10.7,2.0
119.0,42.8,2.0,9.0,3.0
120.0,,,,
121.0,112.4,3.0,9.8,4.0
122.0,38.1,1.0,8.7,2.0
123.0,96.3,4.0,11.9,5.0
124.0,94.3,3.0,20.3,4.0
125.0,106.5,2.0,33.7,3.0
126.0,110.5,2.0,6.5,3.0
127.0,40.4,1.0,16.1,2.0
128.0,125.2,3.0,17.5,4.0
129.0,107.2,4.0,33.0,5.0
130.0,73.6,2.0,8.5,3.0
131.0,109.8,3.0,7.2,4.0
132.0,102.6,4.0,33.9,5.0
133.0,99.1,2.0,9.0,3.0
134.0,93.4,4.0,16.5,5.0
135.0,102.6,2.0,6.8,3.0
136.0,76.5,1.0,15.8,2.0
137.0,118.1,3.0,11.6,4.0
138.0,106.1,2.0,8.8,3.0
139.0,105.3,2.0,11.2,3.0
140.0,93.3,4.0,13.9,5.0
141.0,64.3,3.0,13.2,4.0
142.0,62.5,1.0,47.9,2.0
143.0,23.6,0.0,7.6,1.0
144.0,63.7,1.0,13.0,2.0
145.0,97.3,2.0,7.7,3.0
146.0,115.1,4.0,29.9,5.0
147.0,,,,
148.0,95.1,2.0,7.8,3.0
149.0,84.7,2.0,33.3,3.0
150.0,88.3,4.0,10.7,5.0
151.0,109.4,3.0,17.5,4.0
152.0,155.1,5.0,38.8,6.0
153.0,,,,
154.0,68.5,4.0,11.3,5.0
155.0,43.8,2.0,12.5,3.0
156.0,139.9,4.0,53.4,5.0
157.0,84.3,3.0,20.6,4.0
158.0,95.5,3.0,29.6,4.0
159.0,73.2,2.0,8.7,3.0
160.0,107.0,3.0,34.3,4.0
161.0,128.3,2.0,5.9,3.0
162.0,103.3,4.0,25.8,5.0
163.0,88.9,3.0,7.5,4.0
164.0,68.9,3.0,12.5,4.0
165.0,124.2,3.0,30.3,4.0
166.0,99.0,4.0,17.5,5.0
167.0,56.6,2.0,8.4,3.0
168.0,97.3,2.0,26.6,3.0
169.0,97.4,4.0,19.9,5.0
170.0,94.8,3.0,19.8,4.0
171.0,57.5,1.0,18.5,2.0
172.0,84.7,2.0,13.7,3.0
173.0,,,,
174.0,108.3,4.0,8.4,5.0
175.0,84.3,2.0,9.8,3.0
176.0,115.8,4.0,12.9,5.0
177.0,90.8,3.0,8.4,4.0
178.0,118.0,2.0,29.6,3.0
179.0,75.9,2.0,8.6,3.0
180.0,130.4,3.0,12.7,4.0
181.0,66.4,3.0,20.7,4.0
182.0,74.9,2.0,19.8,3.0
183.0,100.8,3.0,23.8,4.0
184.0,96.8,3.0,5.4,4.0
185.0,107.1,4.0,12.6,5.0
186.0,116.5,5.0,15.3,6.0
187.0,88.6,3.0,16.1,4.0
188.0,66.8,1.0,33.2,2.0
189.0,51.3,1.0,14.5,2.0
190.0,,,,
191.0,100.8,2.0,6.7,3.0
192.0,57.9,1.0,16.2,2.0
193.0,106.6,3.0,32.5,4.0
194.0,88.5,2.0,6.2,3.0
195.0,124.6,3.0,30.7,4.0
196.0,68.4,1.0,3.6,2.0
197.0,111.3,3.0,8.7,4.0
198.0,109.2,4.0,35.0,5.0
199.0,120.4,3.0,43.6,4.0
200.0,80.8,2.0,14.2,3.0
201.0,46.6,0.0,26.6,1.0
202.0,131.5,5.0,14.7,6.0
203.0,109.1,2.0,20.8,3.0
204.0,73.9,2.0,19.1,3.0
205.0,98.0,2.0,7.5,3.0
206.0,72.3,2.0,22.2,3.0
207.0,84.8,3.0,15.3,4.0
208.0,101.0,2.0,12.7,3.0
209.0,56.3,1.0,37.7,2.0
210.0,109.2,3.0,17.2,4.0
211.0,86.0,4.0,21.9,5.0
212.0,29.0,1.0,12.4,2.0
213.0,93.1,3.0,14.5,4.0
214.0,101.6,3.0,23.7,4.0
215.0,113.7,2.0,16.5,3.0
216.0,,,,
217.0,88.6,4.0,11.9,5.0
218.0,61.7,2.0,7.0,3.0
219.0,50.9,1.0,19.2,2.0
220.0,76.4,3.0,16.0,4.0
221.0,26.9,1.0,4.7,2.0
222.0,104.5,5.0,19.4,6.0
223.0,101.6,3.0,26.6,4.0
224.0,108.1,2.0,14.4,3.0
225.0,82.7,2.0,16.2,3.0
226.0,112.0,2.0,35.0,3.0
227.0,90.9,3.0,10.8,4.0
228.0,63.2,2.0,18.5,3.0
229.0,118.7,3.0,39.2,4.0
230.0,72.7,4.0,6.8,5.0
231.0,141.0,3.0,18.1,4.0
232.0,91.9,4.0,17.4,5.0
233.0,103.8,2.0,12.0,3.0
234.0,88.2,3.0,13.2,4.0
235.0,,,,
236.0,92.0,3.0,6.5,4.0
237.0,40.6,1.0,18.1,2.0
238.0,98.5,5.0,17.9,6.0
239.0,95.3,3.0,14.5,4.0
240.0,52.3,1.0,15.7,2.0
241.0,104.5,3.0,24.4,4.0
242.0,58.2,3.0,18.7,4.0
243.0,66.2,2.0,6.8,3.0
244.0,106.4,3.0,22.6,4.0
245.0,92.9,2.0,5.5,3.0
246.0,43.7,1.0,20.1,2.0
247.0,159.2,2.0,65.1,3.0
248.0,54.8,1.0,40.2,2.0
249.0,28.9,0.0,11.9,1.0
250.0,114.7,4.0,24.8,5.0
251.0,61.8,3.0,9.8,4.0
252.0,87.3,3.0,5.6,4.0
253.0,121.8,3.0,25.9,4.0
254.0,104.2,4.0,10.0,5.0
255.0,31.4,1.0,10.8,2.0
256.0,23.2,1.0,5.3,2.0
257.0,102.4,2.0,7.3,3.0
258.0,76.7,2.0,18.4,3.0
259.0,63.0,3.0,23.9,4.0
260.0,103.6,3.0,11.2,4.0
261.0,103.4,3.0,32.4,4.0
262.0,106.7,4.0,11.2,5.0
263.0,,,,
264.0,86.0,4.0,10.6,5.0
265.0,94.1,2.0,4.2,3.0
266.0,93.6,4.0,19.4,5.0
267.0,48.0,1.0,22.6,2.0
268.0,130.0,5.0,9.0,6.0
269.0,111.2,2.0,36.3,3.0
270.0,130.5,5.0,9.5,6.0
271.0,122.9,3.0,26.9,4.0
272.0,69.7,2.0,9.4,3.0
273.0,58.5,2.0,12.2,3.0
274.0,61.7,1.0,14.1,2.0
275.0,84.2,3.0,11.9,4.0
276.0,91.3,4.0,18.8,5.0
277.0,86.5,3.0,7.8,4.0
278.0,101.6,2.0,9.8,3.0
279.0,158.2,3.0,60.8,4.0
280.0,117.1,2.0,22.4,3.0
281.0,109.7,4.0,16.2,5.0
282.0,88.0,3.0,17.4,4.0
283.0,35.8,1.0,7.3,2.0
284.0,57.8,1.0,13.4,2.0
285.0,54.5,2.0,11.6,3.0
286.0,87.9,2.0,13.6,3.0
287.0,84.9,3.0,27.9,4.0
288.0,80.2,2.0,9.6,3.0
289.0,85.2,3.0,28.4,4.0
290.0,103.0,3.0,20.9,4.0
291.0,102.3,2.0,7.7,3.0
292.0,101.0,2.0,17.7,3.0
293.0,,,,
294.0,127.9,2.0,9.2,3.0
295.0,,,,
296.0,117.3,4.0,43.2,5.0
297.0,96.0,3.0,19.9,4.0
298.0,101.3,3.0,20.3,4.0
299.0,122.7,4.0,32.1,5.0
300.0,100.6,3.0,16.0,4.0
